"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
16370,16220,16058,15942,15856,15703,15616,15541,15418,15338,15275,15180,15075,14941,14837,14727,14656,14489,14348,14254,14093,13972,13804,13621,13505,13335,13118,12934,12771,12587,12413,12196,11886,11638,11398,11112,10858
17019,16876,16721,16554,16435,16347,16189,16098,16022,15894,15812,15747,15650,15541,15403,15296,15182,15110,14937,14792,14695,14529,14404,14232,14043,13924,13748,13524,13335,13167,12977,12797,12574,12254,12000,11751,11456
17914,17773,17623,17462,17286,17162,17070,16905,16810,16731,16598,16512,16444,16342,16228,16085,15973,15854,15778,15599,15447,15346,15172,15042,14862,14665,14541,14357,14123,13925,13750,13552,13364,13131,12797,12531,12272
17409,17250,17112,16967,16812,16643,16523,16435,16275,16184,16107,15979,15896,15830,15733,15623,15485,15378,15263,15190,15016,14871,14774,14607,14482,14308,14118,13999,13821,13597,13406,13237,13047,12866,12642,12320,12064
18114,17971,17806,17664,17516,17356,17182,17058,16967,16803,16709,16630,16498,16412,16344,16244,16131,15989,15877,15759,15684,15505,15355,15254,15082,14953,14773,14576,14454,14271,14039,13842,13669,13472,13285,13054,12721
20116,20018,19860,19678,19522,19358,19181,18988,18852,18750,18569,18465,18378,18232,18137,18062,17951,17827,17669,17546,17416,17333,17134,16970,16858,16667,16525,16326,16108,15974,15771,15515,15297,15105,14889,14681,14427
21820,21669,21563,21393,21196,21029,20852,20662,20454,20308,20199,20003,19892,19797,19640,19538,19457,19338,19205,19035,18901,18761,18672,18458,18281,18161,17955,17802,17587,17353,17208,16989,16714,16479,16272,16039,15815
20684,20564,20421,20322,20162,19976,19817,19652,19472,19276,19138,19035,18850,18745,18657,18508,18412,18336,18224,18099,17938,17812,17681,17596,17395,17228,17115,16920,16777,16575,16353,16218,16011,15752,15530,15336,15116
22063,22333,22203,22049,21942,21769,21568,21397,21219,21025,20813,20664,20553,20354,20240,20144,19985,19880,19799,19678,19543,19369,19233,19091,19000,18783,18603,18480,18270,18115,17897,17658,17511,17288,17009,16770,16559
23869,23122,23403,23270,23109,22995,22816,22605,22425,22239,22035,21813,21658,21540,21331,21213,21113,20945,20836,20751,20623,20483,20301,20157,20009,19914,19686,19498,19370,19149,18988,18758,18507,18354,18120,17827,17577
